Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_macd_color,Exit_macd_color,Entry_cross,Exit_cross
-4578,377,382,2129.06,2136.43,2163.976584,2083.498116,-33739.8599999995,-0.0034616215606886325,1970-01-01 00:29:34.329300,1970-01-01 00:29:34.333800,0 days 00:00:00.004500,,1,0,False,False
4546,382,394,2136.43,2151.97,2101.392548,2182.149602,70644.83999999984,0.007273816600590788,1970-01-01 00:29:34.333800,1970-01-01 00:29:34.344600,0 days 00:00:00.010800,,0,1,False,False
-4546,394,396,2151.97,2163.91,2187.262308,2105.917842,-54279.240000000245,-0.00554840448519256,1970-01-01 00:29:34.344600,1970-01-01 00:29:34.346400,0 days 00:00:00.001800,,1,0,False,False
4496,396,398,2163.91,2155.47,2128.421876,2210.217674,-37946.240000000245,-0.0039003470569478615,1970-01-01 00:29:34.346400,1970-01-01 00:29:34.348200,0 days 00:00:00.001800,,0,1,False,False
-4496,398,400,2155.47,2160.46,2190.8197079999995,2109.3429419999998,-22435.040000001063,-0.0023150403392300234,1970-01-01 00:29:34.348200,1970-01-01 00:29:34.350000,0 days 00:00:00.001800,,1,1,False,True
4475,400,401,2160.46,2158.33,2125.028456,2206.6938440000004,-9531.750000000487,-0.000985901150680979,1970-01-01 00:29:34.350000,1970-01-01 00:29:34.350900,0 days 00:00:00.000900,,1,1,True,False
-4475,401,403,2158.33,2170.89,2193.726612,2112.141738,-56205.99999999975,-0.005819314006662468,1970-01-01 00:29:34.350900,1970-01-01 00:29:34.352700,0 days 00:00:00.001800,,1,0,False,False
4424,403,407,2170.89,2160.34,2135.287404,2217.347046,-46673.19999999879,-0.004859757979446044,1970-01-01 00:29:34.352700,1970-01-01 00:29:34.356300,0 days 00:00:00.003600,,0,1,False,False
-4424,407,424,2160.34,2114.108724,2195.769576,2114.108724,204527.1650239999,0.021399999999999975,1970-01-01 00:29:34.356300,1970-01-01 00:29:34.371600,0 days 00:00:00.015300,,1,1,False,False
4608,432,454,2118.1,2163.42734,2083.36316,2163.42734,208868.38272000127,0.021400000000000086,1970-01-01 00:29:34.378800,1970-01-01 00:29:34.398600,0 days 00:00:00.019800,,0,0,False,False
-4625,460,472,2155.7,2165.51,2191.0534799999996,2109.5680199999997,-45371.25000000185,-0.00455072598227968,1970-01-01 00:29:34.404000,1970-01-01 00:29:34.414800,0 days 00:00:00.010800,,1,0,False,False
4583,472,480,2165.51,2162.7,2129.995636,2211.8519140000003,-12878.230000001833,-0.0012976158041294594,1970-01-01 00:29:34.414800,1970-01-01 00:29:34.422000,0 days 00:00:00.007200,,0,1,False,False
-4583,480,487,2162.7,2182.58,2198.16828,2116.41822,-91110.0400000005,-0.00919221343690757,1970-01-01 00:29:34.422000,1970-01-01 00:29:34.428300,0 days 00:00:00.006300,,1,0,False,False
4499,487,502,2182.58,2170.83,2146.785688,2229.287212,-52863.25,-0.005383536915027132,1970-01-01 00:29:34.428300,1970-01-01 00:29:34.441800,0 days 00:00:00.013500,,0,1,False,False
-4499,502,521,2170.83,2169.61,2206.431612,2124.374238,5488.7799999991,0.0005619970241795835,1970-01-01 00:29:34.441800,1970-01-01 00:29:34.458900,0 days 00:00:00.017100,,1,0,False,False
4504,521,524,2169.61,2163.14,2134.028396,2216.039654,-29140.880000001147,-0.0029821027742313877,1970-01-01 00:29:34.458900,1970-01-01 00:29:34.461600,0 days 00:00:00.002700,,0,1,False,False
-4504,524,526,2163.14,2168.54,2198.615496,2116.8488039999997,-24321.60000000041,-0.002496371016208032,1970-01-01 00:29:34.461600,1970-01-01 00:29:34.463400,0 days 00:00:00.001800,,1,1,False,True
4482,526,527,2168.54,2163.1,2132.9759440000003,2214.9467560000003,-24382.080000000245,-0.002508600256393767,1970-01-01 00:29:34.463400,1970-01-01 00:29:34.464300,0 days 00:00:00.000900,,1,1,True,False
-4482,527,530,2163.1,2170.1,2198.5748399999998,2116.80966,-31374.0,-0.0032360963432112033,1970-01-01 00:29:34.464300,1970-01-01 00:29:34.467000,0 days 00:00:00.002700,,1,0,False,False
4453,530,538,2170.1,2162.83,2134.5103599999998,2216.54014,-32373.309999999918,-0.003350076033362459,1970-01-01 00:29:34.467000,1970-01-01 00:29:34.474200,0 days 00:00:00.007200,,0,1,False,False
-4453,538,543,2162.83,2174.63,2198.300412,2116.545438,-52545.40000000081,-0.005455814835192863,1970-01-01 00:29:34.474200,1970-01-01 00:29:34.478700,0 days 00:00:00.004500,,1,0,False,False
4405,543,551,2174.63,2166.62,2138.966068,2221.1670820000004,-35284.05000000096,-0.0036833852195546912,1970-01-01 00:29:34.478700,1970-01-01 00:29:34.485900,0 days 00:00:00.007200,,0,1,False,False
-4405,551,571,2166.62,2120.254332,2202.152568,2120.254332,204240.76753999962,0.021399999999999975,1970-01-01 00:29:34.485900,1970-01-01 00:29:34.503900,0 days 00:00:00.018000,,1,1,False,False
4606,581,586,2116.29,2081.582844,,2161.578606,-159861.16053599972,-0.01639999999999997,1970-01-01 00:29:34.512900,1970-01-01 00:29:34.517400,0 days 00:00:00.004500,,0,1,False,True
-4603,587,598,2082.99,2070.48,2117.1510359999997,2038.414014,57583.529999998915,0.006005789754151336,1970-01-01 00:29:34.518300,1970-01-01 00:29:34.528200,0 days 00:00:00.009900,,1,0,False,False
4659,598,621,2070.48,2049.61,2036.524128,2114.7882720000002,-97233.32999999949,-0.010079788261659117,1970-01-01 00:29:34.528200,1970-01-01 00:29:34.548900,0 days 00:00:00.020700,,0,1,False,False
-4659,621,628,2049.61,2047.73,2083.2236040000003,2005.748346,8758.920000000508,0.0009172476715082478,1970-01-01 00:29:34.548900,1970-01-01 00:29:34.555200,0 days 00:00:00.006300,,1,0,False,False
4667,628,642,2047.73,2060.9,2014.147228,2091.551422,61464.39000000034,0.006431511966909831,1970-01-01 00:29:34.555200,1970-01-01 00:29:34.567800,0 days 00:00:00.012600,,0,1,False,False
-4667,642,649,2060.9,2068.2,2094.69876,2016.7967400000002,-34069.099999998725,-0.0035421417827161683,1970-01-01 00:29:34.567800,1970-01-01 00:29:34.574100,0 days 00:00:00.006300,,1,0,False,False
4634,649,657,2068.2,2060.74,2034.2815199999998,2112.45948,-34569.64000000017,-0.00360700125713187,1970-01-01 00:29:34.574100,1970-01-01 00:29:34.581300,0 days 00:00:00.007200,,0,1,False,False
-4634,657,668,2060.74,2060.16,2094.5361359999997,2016.640164,2687.719999999663,0.00028145229383613746,1970-01-01 00:29:34.581300,1970-01-01 00:29:34.591200,0 days 00:00:00.009900,,1,0,False,False
4637,668,678,2060.16,2053.4,2026.373376,2104.247424,-31346.119999998904,-0.0032812985399190975,1970-01-01 00:29:34.591200,1970-01-01 00:29:34.600200,0 days 00:00:00.009000,,0,1,False,False
-4637,678,686,2053.4,2009.4572400000002,2087.07576,2009.4572400000002,203762.57811999958,0.021399999999999975,1970-01-01 00:29:34.600200,1970-01-01 00:29:34.607400,0 days 00:00:00.007200,,1,1,False,False
