,time,open,high,low,close,volume
0,1773990000000,2135.56,2135.56,2119.47,2127.43,42617.39
1,1773990900000,2127.43,2141.49,2126.97,2137.38,10135.6
2,1773991800000,2137.38,2152.06,2135.49,2151.97,37609.51
3,1773992700000,2151.97,2152.62,2148.0,2149.51,12323.05
4,1773993600000,2149.51,2175.86,2145.42,2169.69,61401.45
5,1773994500000,2169.69,2170.13,2161.47,2164.2,16608.56
6,1773995400000,2164.2,2166.68,2159.63,2163.24,11382.43
7,1773996300000,2163.24,2166.72,2159.56,2162.94,19428.07
8,1773997200000,2162.94,2163.18,2153.36,2153.88,12447.36
9,1773998100000,2153.88,2154.7,2138.0,2141.16,44263.37
10,1773999000000,2141.16,2147.97,2141.16,2144.7,11657.21
11,1773999900000,2144.7,2145.29,2133.76,2140.18,19055.51
12,1774000800000,2140.18,2140.51,2131.0,2134.59,10467.94
13,1774001700000,2134.59,2137.57,2130.12,2134.69,8593.2
14,1774002600000,2134.69,2150.61,2134.32,2146.72,17511.73
15,1774003500000,2146.72,2149.65,2144.58,2147.31,17926.07
16,1774004400000,2147.31,2157.71,2145.83,2156.93,19291.79
17,1774005300000,2156.93,2156.93,2147.63,2148.83,6935.46
18,1774006200000,2148.83,2149.46,2133.03,2138.23,24663.42
19,1774007100000,2138.23,2141.72,2135.78,2140.35,6788.23
20,1774008000000,2140.35,2152.0,2138.86,2144.91,15114.4
21,1774008900000,2144.91,2147.84,2138.04,2141.59,5895.23
22,1774009800000,2141.59,2141.85,2134.0,2138.09,8591.53
23,1774010700000,2138.09,2141.51,2135.43,2140.02,3069.54
24,1774011600000,2140.02,2144.45,2134.17,2137.79,8871.14
25,1774012500000,2137.79,2152.43,2136.68,2145.88,16060.58
26,1774013400000,2145.88,2145.9,2121.74,2139.99,61723.4
27,1774014300000,2139.99,2142.34,2123.54,2126.08,32041.29
28,1774015200000,2126.08,2134.36,2113.87,2123.73,68763.8
29,1774016100000,2123.73,2140.34,2118.0,2134.18,59107.0
30,1774017000000,2134.18,2146.85,2133.91,2135.04,39224.0
31,1774017900000,2135.04,2138.87,2123.51,2127.88,31853.26
32,1774018800000,2127.88,2135.84,2118.53,2128.84,28071.67
33,1774019700000,2128.84,2137.85,2120.35,2128.9,30801.11
34,1774020600000,2128.9,2134.41,2125.29,2131.24,12294.69
35,1774021500000,2131.24,2136.25,2128.0,2132.88,8496.1
36,1774022400000,2132.88,2141.62,2132.42,2138.34,16259.79
37,1774023300000,2138.34,2143.91,2134.43,2139.32,21013.91
38,1774024200000,2139.32,2139.47,2129.29,2133.82,20488.42
39,1774025100000,2133.82,2139.67,2130.0,2136.44,17763.54
40,1774026000000,2136.44,2140.0,2130.37,2132.14,11340.62
41,1774026900000,2132.14,2134.91,2130.0,2130.09,17658.14
42,1774027800000,2130.09,2131.45,2118.47,2123.75,25826.3
43,1774028700000,2123.75,2139.0,2122.62,2135.75,22575.43
44,1774029600000,2135.75,2136.59,2131.56,2134.0,13349.69
45,1774030500000,2134.0,2135.08,2123.0,2124.56,34197.13
46,1774031400000,2124.56,2126.48,2115.46,2122.43,45973.29
47,1774032300000,2122.43,2128.15,2118.48,2122.09,27496.85
48,1774033200000,2122.09,2127.29,2118.77,2124.55,18322.62
49,1774034100000,2124.55,2127.3,2120.65,2123.86,7219.94
50,1774035000000,2123.86,2129.09,2115.87,2128.66,67382.86
51,1774035900000,2128.66,2134.38,2122.45,2132.08,42582.48
52,1774036800000,2132.08,2136.0,2129.8,2134.28,15770.91
53,1774037700000,2134.28,2134.28,2128.13,2129.72,5823.9
54,1774038600000,2129.72,2130.16,2122.39,2127.41,23368.53
55,1774039500000,2127.41,2134.67,2126.18,2132.14,7872.74
